PAR_MJ,FAPAR_FRACION,T_MIN_DEGC,VPD_PA,RH_PERCENTAGE,TA_DEGC
5.73147,0.0135601,22.235,3519.08,23.8903,31.6408
5.61401,0.013571,26.1603,3778.06,21.0171,32.2434
5.00941,0.013583,23.3869,3015.07,27.959,29.888
5.6942,0.0135961,21.7846,2910,27.5296,29.1662
5.56405,0.0136102,22.4008,2850.32,29.0586,29.1767
5.71468,0.0136256,21.0739,2534.81,33.8619,28.3585
5.17346,0.0136423,20.381,2126.24,36.5628,26.062
5.73904,0.0136604,19.6535,2491.44,31.0404,27.3424
5.81632,0.01368,21.3986,3202.17,22.5112,29.6664
5.90848,0.0137012,23.3014,3881.45,13.9931,31.2122
5.90701,0.0137242,22.6608,3612.73,18.0226,30.7935
4.93605,0.0137489,21.6847,2345.12,34.4116,27.1641
5.73766,0.0137757,18.7709,2162.92,36.0268,26.2097
5.63086,0.0138046,19.683,2575.39,31.6959,28.0765
5.30899,0.0138358,23.3324,3225.28,25.3128,30.4366
5.63064,0.0138694,25.0875,3747.7,21.0166,32.0998
5.58079,0.0139058,28.1652,4567.6,16.0492,34.5533
5.88409,0.0139449,27.2353,4734.43,15.2168,35.0247
5.79646,0.0139871,31.0746,5358.79,12.8629,36.7876
5.81068,0.0140326,26.338,4891.93,15.5651,35.6951
5.91098,0.0140817,23.9188,4254.12,19.5652,34.042
5.98335,0.0141346,25.5502,4463.27,16.0439,34.1348
6.06743,0.0141915,25.0558,4427.76,16.1189,34.007
6.05487,0.0142529,25.9088,4653.34,15.8047,34.8375
6.04924,0.014319,23.6786,3890.31,22.5568,33.1171
5.90007,0.0143902,22.8371,3501.33,25.5149,31.9336
5.58722,0.0144668,26.3739,4116.74,20.094,33.5701
5.90769,0.0145494,26.0656,4369.9,18.6365,34.3194
5.83596,0.0146383,23.7902,3429.48,26.3474,31.7653
5.98037,0.014734,21.1559,2711.08,34.7328,29.7565
5.91224,0.0148371,21.6398,2777.66,34.2148,30.0424
5.49532,0.0149481,25.7221,3835.18,22.2547,32.7923
5.94818,0.0150675,24.9625,3737.3,23.2538,32.5617
5.98661,0.0151961,23.549,3534.81,24.758,31.9231
6.01624,0.0153344,25.102,3916.55,21.2135,32.9297
5.95573,0.0154833,25.4274,3869.02,20.1153,32.4647
5.91869,0.0156436,23.8432,3438.91,24.5224,31.3807
5.69442,0.0158161,21.4713,2502.1,35.754,28.6359
5.84957,0.0160016,20.8932,2562.97,34.8995,28.8235
5.79173,0.0162013,20.6527,2508.5,37.7714,29.2339
5.69512,0.0164161,24.0548,4003.52,21.6595,33.4247
5.97838,0.0166472,24.3603,3712.48,24.9169,32.8338
5.94679,0.0168959,20.5634,2211.59,43.7817,28.8102
6.01568,0.0171633,21.0556,2797.61,33.8525,30.0715
6.0619,0.0174509,20.9982,3182.95,28.5849,30.9921
5.42913,0.0177603,24.6872,3621.99,25.2818,32.4805
5.83346,0.018093,22.6432,2775.07,38.0502,31.0811
5.84229,0.0184508,23.7523,3195.4,32.6949,32.11
5.53524,0.0188355,23.279,2742.09,36.8281,30.527
5.73415,0.0192491,21.9469,2581.59,36.9432,29.5038
5.21258,0.0196938,23.4904,2727.02,33.5834,29.5542
5.42485,0.0201717,23.4589,2967.45,30.4335,30.2211
5.59625,0.0206854,23.6886,3125.32,29.0871,30.7946
5.69306,0.0212375,24.643,3197.45,30.2636,31.4923
5.76779,0.0218308,24.5236,2939.69,33.7039,30.9018
5.40559,0.0224682,24.9894,3192.87,34.7721,32.654
5.61722,0.0231529,24.6334,2383.85,46.8601,31.1065
4.90524,0.0238884,24.4499,2221.61,48.6805,30.4796
5.45819,0.0246782,25.142,2401.66,46.9193,31.2575
5.52258,0.0255264,24.5177,2540.99,43.7868,31.2408
5.62738,0.0264369,25.1503,2839.07,40.4181,32.1749
5.59827,0.0274143,25.9533,2529.58,45.9252,31.8474
5.47058,0.0284631,25.736,2464.83,46.101,31.4459
5.78468,0.0295884,24.7453,3001.77,38.5472,32.6166
5.28454,0.0307955,26.6872,2419.81,49.3069,32.2064
5.27911,0.03209,26.5778,2509.58,45.3075,31.5056
5.72375,0.0334779,23.9076,2422.62,46.034,31.119
5.71564,0.0349655,24.007,2655.23,44.5151,32.2512
5.62547,0.0365595,25.5968,1939.74,56.1176,30.8466
5.48059,0.038267,25.7001,2001.51,55.1941,31.032
5.45561,0.0400953,25.5302,2313.1,49.6477,31.5261
5.71856,0.0420524,24.5656,2559.28,44.2211,31.5047
5.53406,0.0441464,24.3668,2050.63,53.6392,30.8581
5.59309,0.0463862,25.8339,2321.01,50.6459,31.9414
5.68466,0.0487806,25.2614,2523.67,43.3683,30.9894
5.56408,0.0513393,23.1024,2007.49,51.9505,29.8578
5.51819,0.0540721,24.1828,2102.22,49.8739,29.9241
5.70934,0.0569893,22.9503,1751.45,55.3121,28.7456
5.58895,0.0601015,22.8817,1605.27,59.1312,28.7835
5.5723,0.0634198,23.7697,1772.84,57.1061,29.6691
5.41,0.0669555,25.0434,1781.67,57.9094,30.0864
4.63536,0.0707203,25.2531,2009.33,53.2619,30.3582
5.44591,0.074726,23.7226,1952.78,52.6246,29.622
5.62254,0.0789848,23.4787,1791.38,55.369,29.1589
5.54291,0.0835088,24.0238,1696.24,57.9608,29.2503
4.40681,0.0883104,24.7726,1752.68,58.0694,29.8661
4.98354,0.0934018,26.6024,1854.14,58.2226,30.9175
5.5537,0.0987952,25.4738,2053.18,52.2547,30.3628
5.30841,0.104503,22.85,1622.18,58.4704,28.687
5.43758,0.110535,24.0863,1825.38,56.0176,29.7414
4.39532,0.116905,25.6339,1447.51,64.297,29.3338
3.81021,0.123621,24.1957,673.206,80.9117,26.9295
3.56972,0.130694,24.3607,957.667,74.4924,28.003
4.14766,0.138132,24.8588,1108.01,70.3467,27.9207
5.31324,0.145943,22.7492,1232.75,66.3337,27.5726
2.81805,0.154133,23.7501,993.116,72.4754,27.3196
4.09096,0.162707,24.2021,1141.45,69.8505,28.1472
4.08758,0.171667,25.0597,1235.99,68.6184,28.8306
4.57458,0.181015,24.807,1308.95,67.7966,29.3781
5.27368,0.190749,25.0238,1288.74,67.5668,28.9839
4.50773,0.200866,24.3988,742.33,79.5922,27.4587
5.21722,0.211361,23.965,1129.61,71.0559,28.6723
4.65647,0.222224,25.3856,1128.06,71.1392,28.6983
4.4063,0.233444,24.4074,1182.35,70.4907,29.1283
3.922,0.245008,26.06,1248.18,69.3171,29.3925
4.55258,0.256898,25.4667,1224.24,68.8498,28.7933
4.66113,0.269094,24.0961,1220.62,68.7869,28.7072
4.96,0.281574,25.3495,1366.73,66.7524,29.5747
4.33736,0.294311,24.7382,1065.88,72.1159,28.3132
2.98031,0.307278,24.2528,601.24,82.7155,26.6939
3.02652,0.320443,23.9926,649.506,81.4182,26.7766
4.1057,0.333772,24.2807,939.618,75.4801,28.3561
4.85675,0.347231,25.173,1013.36,74.2134,28.792
4.84541,0.360782,24.8395,1231.41,68.8603,28.9006
3.78343,0.374385,26.1667,1035.07,73.5733,28.7344
3.57836,0.388002,24.9037,903.871,75.5712,27.7516
3.70115,0.40159,24.5595,1166.38,70.0084,28.6113
4.61712,0.415109,25.5604,1427.7,65.2305,29.5552
5.47105,0.428518,23.3378,1378.62,65.1672,28.9152
3.5598,0.441776,25.9293,1287.57,68.2795,29.3544
4.2278,0.454843,25.9374,1343.82,67.2323,29.5334
5.20281,0.46768,24.6464,1525.23,62.8507,29.5531
5.1777,0.48025,25.6938,1679.42,60.514,30.17
3.74736,0.492518,25.7067,965.52,74.6007,28.2172
4.12669,0.504449,24.1583,785.412,78.6583,27.6591
5.07386,0.516014,25.2106,1075.42,73.5496,29.3831
5.46696,0.527183,25.0932,1375.64,67.7053,30.1965
3.97426,0.537931,27.0033,1340.11,68.7899,30.3366
3.96217,0.548233,26.2028,1372.63,67.5261,30.0613
4.55586,0.55807,26.3725,1419.29,66.45,30.0758
4.88026,0.567423,25.4101,1399.82,66.3259,29.7697
2.60856,0.576277,24.9691,853.722,76.3208,27.3066
4.66906,0.584619,23.6713,1234.47,68.5362,28.7639
4.22484,0.592438,25.1811,1283.15,68.4378,29.3816
5.11962,0.599727,25.464,1628.65,62.4681,30.5218
4.00597,0.606479,25.8078,1475.39,64.6016,29.8159
1.4789,0.61269,24.3964,310.971,90.5983,25.8372
2.90348,0.618358,23.5719,499.05,85.1574,26.1154
3.78785,0.623483,23.6308,787.239,78.2333,27.3605
3.75997,0.628065,24.5314,798.279,78.6047,27.8956
4.19239,0.632105,25.4101,939.833,75.6803,28.5018
4.24067,0.635608,25.122,972.986,74.8168,28.498
3.80302,0.638578,25.2855,695.962,80.9308,27.5161
1.45164,0.641018,24.3629,265.522,91.7638,25.403
3.94606,0.642934,23.102,592.772,82.5983,26.3371
3.64977,0.644333,23.7101,597.165,82.4759,26.3434
2.15128,0.64522,24.3385,330.559,90.0265,25.8718
1.99126,0.645602,23.5951,344.091,89.3301,25.4083
